;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probability per lack of transmitters;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1;all;12;20; ;0;0.013605442;0;0.007407407;0;0.006493506;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;16; ;0;0;0.013986014;0.007462687;0;0;0.007936508;0.016528926;0;0;;;;
blocking probabilities per pair;1;all;27;18; ;0.01459854;0.008064516;0.013333333;0.021428571;0;0.026143791;0;0.020689655;0;0;;;;
blocking probabilities per pair;1;all;11;22; ;0.018072289;0.008;0;0.01459854;0.008474576;0.007194245;0.013157895;0.014814815;0;0.014084507;;;;
blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0.006666667;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;6; ;0.013333333;0.014705882;0;0.006993007;0.007352941;0;0.007936508;0;0;0.007936508;;;;
blocking probabilities per pair;1;all;18;15; ;0;0;0.013157895;0;0;0;0;0;0;0.007518797;;;;
blocking probabilities per pair;1;all;2;24; ;0;0.006756757;0.008;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;3; ;0.007407407;0.007142857;0;0.02238806;0.006493506;0;0;0.011560694;0.007936508;0;;;;
blocking probabilities per pair;1;all;16;24; ;0.016528926;0.006493506;0;0;0;0;0;0.0078125;0;0.007407407;;;;
blocking probabilities per pair;1;all;23;11; ;0.025477707;0;0;0;0.022222222;0.0078125;0;0.015384615;0;0;;;;
blocking probabilities per pair;1;all;26;23; ;0.014184397;0.031847134;0.007751938;0.022727273;0.015384615;0.007142857;0.015503876;0.014388489;0.015748031;0.007874016;;;;
blocking probabilities per pair;1;all;10;20; ;0;0.018292683;0;0;0;0;0;0.012903226;0;0;;;;
blocking probabilities per pair;1;all;10;21; ;0.007246377;0.006849315;0.00625;0.007092199;0;0;0.008264463;0;0;0.014814815;;;;
blocking probabilities per pair;1;all;14;20; ;0;0;0.007633588;0;0.006535948;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;10; ;0.021126761;0.020833333;0.019047619;0.038216561;0.020134228;0.055045872;0.013157895;0.008064516;0.014084507;0.014705882;;;;
blocking probabilities per pair;1;all;26;19; ;0;0;0.015267176;0.007042254;0;0.007092199;0.028368794;0.006756757;0.00621118;0.00729927;;;;
blocking probabilities per pair;1;all;5;8; ;0;0.007575758;0.015151515;0.007874016;0.007092199;0.00729927;0;0;0;0.007142857;;;;
blocking probabilities per pair;1;all;12;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;27; ;0.020833333;0.015748031;0;0.006711409;0.02238806;0;0.014492754;0.013071895;0;0;;;;
blocking probabilities per pair;1;all;23;25; ;0.023809524;0.01459854;0.006493506;0.00729927;0.034013605;0.01459854;0.006666667;0.032467532;0.008196721;0;;;;
blocking probabilities per pair;1;all;14;2; ;0;0;0.006849315;0;0;0;0;0;0.006451613;0.008064516;;;;
blocking probabilities per pair;1;all;1;22; ;0.014388489;0.007407407;0;0.016528926;0.013333333;0.01986755;0.008849558;0.007246377;0.013422819;0.006711409;;;;
blocking probabilities per pair;1;all;23;1; ;0.01459854;0.022900763;0.015384615;0.028169014;0;0.006944444;0.01734104;0.00729927;0.00729927;0.024590164;;;;
blocking probabilities per pair;1;all;24;4; ;0;0;0;0.01242236;0;0;0;0.007462687;0;0;;;;
blocking probabilities per pair;1;all;28;26; ;0;0.015503876;0.006134969;0;0.020547945;0.009090909;0.007575758;0.030075188;0;0;;;;
blocking probabilities per pair;1;all;18;5; ;0.006993007;0.016806723;0;0.006944444;0.007092199;0;0.007575758;0;0;0;;;;
blocking probabilities per pair;1;all;17;13; ;0.040816327;0.007142857;0.025;0.007518797;0.013422819;0.007194245;0.013793103;0.022727273;0.008547009;0.02027027;;;;
blocking probabilities per pair;1;all;9;27; ;0;0.00729927;0;0.006578947;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;25;13; ;0;0.006993007;0.007874016;0.006849315;0.007518797;0.006944444;0.006622517;0.006802721;0.01910828;0;;;;
blocking probabilities per pair;1;all;10;11; ;0.007246377;0.033057851;0.013071895;0.007462687;0.019230769;0;0.028368794;0.034482759;0.007633588;0.007042254;;;;
blocking probabilities per pair;1;all;2;10; ;0.026666667;0.014285714;0.016393443;0;0;0;0;0.012820513;0.006711409;0;;;;
blocking probabilities per pair;1;all;7;2; ;0;0.007407407;0.00617284;0.006849315;0;0.006666667;0.007874016;0;0.006944444;0.006993007;;;;
blocking probabilities per pair;1;all;9;20; ;0;0;0;0.007042254;0;0.00729927;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;18; ;0;0;0;0;0;0;0;0.008403361;0.007462687;0;;;;
blocking probabilities per pair;1;all;17;3; ;0.008333333;0.007042254;0;0;0;0;0.00729927;0.014184397;0.007692308;0;;;;
blocking probabilities per pair;1;all;13;1; ;0.006802721;0;0.013605442;0.006802721;0.013793103;0;0;0.006535948;0;0;;;;
blocking probabilities per pair;1;all;25;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;12; ;0;0;0.02027027;0;0.006756757;0;0;0;0.014925373;0;;;;
blocking probabilities per pair;1;all;27;10; ;0;0;0;0;0;0;0;0.016528926;0;0;;;;
blocking probabilities per pair;1;all;3;27; ;0;0.008333333;0;0.007092199;0;0;0.00625;0.0125;0.007462687;0.020134228;;;;
blocking probabilities per pair;1;all;15;20; ;0.007194245;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;3; ;0;0.006802721;0.007092199;0;0.006535948;0;0.008;0.022900763;0.015503876;0.01459854;;;;
blocking probabilities per pair;1;all;23;14; ;0.023076923;0;0;0.006896552;0;0;0;0.016393443;0.021582734;0.013986014;;;;
blocking probabilities per pair;1;all;12;5; ;0.0078125;0;0;0.00621118;0;0;0.006802721;0.00729927;0.013333333;0;;;;
blocking probabilities per pair;1;all;9;24; ;0.014184397;0;0;0;0.006622517;0.007042254;0;0.011627907;0.006622517;0;;;;
blocking probabilities per pair;1;all;19;25; ;0.016260163;0.0078125;0;0.007092199;0.014285714;0;0.007092199;0.013605442;0;0.007246377;;;;
blocking probabilities per pair;1;all;23;21; ;0.023255814;0.019354839;0.013071895;0.021126761;0.007874016;0;0.007246377;0.007518797;0;0;;;;
blocking probabilities per pair;1;all;27;25; ;0.006410256;0;0;0;0.006060606;0;0;0;0;0.018404908;;;;
blocking probabilities per pair;1;all;20;9; ;0;0.006535948;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;28; ;0.007936508;0;0;0.014925373;0;0;0;0.006993007;0;0.01459854;;;;
blocking probabilities per pair;1;all;13;5; ;0;0.006622517;0.019230769;0.013888889;0;0;0;0;0;0.012269939;;;;
blocking probabilities per pair;1;all;3;17; ;0.022727273;0.020547945;0.030075188;0.007092199;0.006944444;0;0.02189781;0.013888889;0.0078125;0.007092199;;;;
blocking probabilities per pair;1;all;13;4; ;0;0;0;0;0.013793103;0;0.006666667;0;0;0;;;;
blocking probabilities per pair;1;all;24;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;21; ;0;0;0;0;0;0;0;0.012903226;0;0;;;;
blocking probabilities per pair;1;all;16;8; ;0;0;0;0.013157895;0;0;0;0.007692308;0;0;;;;
blocking probabilities per pair;1;all;23;6; ;0.033783784;0.046666667;0.036764706;0.044585987;0.033333333;0.022222222;0.014285714;0.01875;0.024539877;0.015267176;;;;
blocking probabilities per pair;1;all;2;9; ;0.007352941;0;0;0.006451613;0;0;0.007042254;0.007352941;0.006944444;0.006666667;;;;
blocking probabilities per pair;1;all;15;17; ;0.025806452;0.008064516;0.008196721;0.007352941;0.006666667;0.018867925;0.045801527;0.007575758;0;0.03030303;;;;
blocking probabilities per pair;1;all;20;6; ;0;0;0.007633588;0;0;0;0;0.006896552;0.007092199;0.007246377;;;;
blocking probabilities per pair;1;all;13;23; ;0.014184397;0.019354839;0.00729927;0.008196721;0.008547009;0.007142857;0.014814815;0.033557047;0.006711409;0.027777778;;;;
blocking probabilities per pair;1;all;27;9; ;0;0.007462687;0;0;0.015503876;0;0.007407407;0.011695906;0.013333333;0;;;;
blocking probabilities per pair;1;all;4;19; ;0;0.007092199;0;0;0.014285714;0;0.007194245;0.006896552;0;0;;;;
blocking probabilities per pair;1;all;7;17; ;0.04137931;0.012987013;0.007352941;0.041666667;0.01986755;0.034722222;0.036764706;0.014084507;0.037878788;0.030075188;;;;
blocking probabilities per pair;1;all;17;2; ;0.036764706;0;0.018181818;0.020689655;0.016129032;0.014285714;0.013793103;0.030534351;0.00729927;0.00729927;;;;
blocking probabilities per pair;1;all;5;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;12; ;0.01459854;0;0;0;0.006944444;0.007194245;0;0;0.007462687;0;;;;
blocking probabilities per pair;1;all;24;13; ;0.007518797;0;0.007633588;0;0;0.008130081;0;0.007142857;0;0;;;;
blocking probabilities per pair;1;all;4;28; ;0.014084507;0.014925373;0;0.026666667;0;0.013888889;0.007092199;0.024691358;0.008474576;0.0078125;;;;
blocking probabilities per pair;1;all;19;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;20;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;26; ;0;0.007352941;0.014925373;0.006369427;0.006134969;0.007407407;0.007575758;0;0.007092199;0.008547009;;;;
blocking probabilities per pair;1;all;22;1; ;0.006802721;0.007042254;0.007352941;0;0.006535948;0;0.013422819;0;0.008;0.030769231;;;;
blocking probabilities per pair;1;all;8;5; ;0.005780347;0.014184397;0;0;0;0.008547009;0.00621118;0.013245033;0;0.007633588;;;;
blocking probabilities per pair;1;all;12;28; ;0.055944056;0.035460993;0.014388489;0.014925373;0.01459854;0.015267176;0.016806723;0.0234375;0.012903226;0.016260163;;;;
blocking probabilities per pair;1;all;28;24; ;0.006896552;0.04;0.017857143;0.021582734;0.013245033;0.013986014;0.020547945;0.013513514;0.014925373;0.026315789;;;;
blocking probabilities per pair;1;all;22;20; ;0;0.014084507;0;0;0.013605442;0.015267176;0;0.012903226;0;0;;;;
blocking probabilities per pair;1;all;27;4; ;0;0.022058824;0.00729927;0;0.020689655;0;0.00617284;0.006802721;0.007751938;0.022058824;;;;
blocking probabilities per pair;1;all;16;4; ;0;0.014388489;0.013986014;0;0.007142857;0;0.012195122;0.00617284;0.014925373;0.007407407;;;;
blocking probabilities per pair;1;all;11;16; ;0;0.006451613;0.006666667;0.014925373;0.01459854;0;0.007042254;0;0.006849315;0;;;;
blocking probabilities per pair;1;all;13;27; ;0;0;0.006993007;0;0;0;0;0;0.006993007;0.007142857;;;;
blocking probabilities per pair;1;all;26;12; ;0.013605442;0;0;0;0.006493506;0;0;0.0078125;0;0;;;;
blocking probabilities per pair;1;all;26;9; ;0;0.015384615;0.006802721;0;0.0078125;0;0.006849315;0.006993007;0.007575758;0.008333333;;;;
blocking probabilities per pair;1;all;17;16; ;0.021582734;0.013986014;0.007042254;0.031446541;0.028169014;0;0.02739726;0.007246377;0.016129032;0.014814815;;;;
blocking probabilities per pair;1;all;6;24; ;0;0.007407407;0;0.007407407;0.015037594;0.008;0;0.006578947;0.007518797;0;;;;
blocking probabilities per pair;1;all;12;7; ;0;0.006493506;0.006666667;0;0;0;0;0.014925373;0.007194245;0.007142857;;;;
blocking probabilities per pair;1;all;27;28; ;0;0;0;0.006896552;0;0;0.007692308;0;0.006896552;0.041666667;;;;
blocking probabilities per pair;1;all;5;1; ;0;0;0.006944444;0.01459854;0;0;0.006944444;0.052631579;0.007142857;0;;;;
blocking probabilities per pair;1;all;3;16; ;0.007246377;0;0;0;0;0;0;0.012820513;0;0;;;;
blocking probabilities per pair;1;all;23;22; ;0.034013605;0.020689655;0.031007752;0.027972028;0.006944444;0;0.006802721;0.014285714;0.007042254;0;;;;
blocking probabilities per pair;1;all;5;10; ;0.015151515;0;0;0.013888889;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;3;13; ;0;0;0;0;0;0;0;0.007692308;0;0.007407407;;;;
blocking probabilities per pair;1;all;17;5; ;0.021582734;0.02238806;0;0.007575758;0.030075188;0.028571429;0.015037594;0.021126761;0.012820513;0.012658228;;;;
blocking probabilities per pair;1;all;28;22; ;0;0;0;0;0.007633588;0;0;0.006756757;0;0;;;;
blocking probabilities per pair;1;all;12;26; ;0.014705882;0;0.014184397;0;0.006711409;0.007042254;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;28; ;0.03125;0.007751938;0.014814815;0.007751938;0.026845638;0.02173913;0.006493506;0.04109589;0.00729927;0.006578947;;;;
blocking probabilities per pair;1;all;19;13; ;0;0;0;0.007692308;0;0;0;0;0;0.006711409;;;;
blocking probabilities per pair;1;all;9;26; ;0.008333333;0;0.007518797;0;0.006944444;0.006134969;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;21;9; ;0.013793103;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;4; ;0;0.018987342;0.015873016;0;0;0;0;0.04379562;0.014184397;0.006666667;;;;
blocking probabilities per pair;1;all;5;18; ;0.006578947;0;0.013986014;0;0;0;0;0.013986014;0.012658228;0.00729927;;;;
blocking probabilities per pair;1;all;22;26; ;0;0;0;0;0;0.006802721;0;0;0.007874016;0.008547009;;;;
blocking probabilities per pair;1;all;2;26; ;0.015503876;0.007462687;0;0;0.007751938;0.007518797;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;12; ;0;0;0.007142857;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;15;24; ;0;0;0;0.006993007;0;0.00621118;0.007194245;0.0078125;0;0;;;;
blocking probabilities per pair;1;all;12;21; ;0.014705882;0.007518797;0;0;0.00729927;0;0;0.013422819;0;0;;;;
blocking probabilities per pair;1;all;1;4; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;17;9; ;0.046666667;0.022222222;0.027027027;0.015873016;0.04;0.034013605;0.01369863;0.006756757;0.021428571;0.012738854;;;;
blocking probabilities per pair;1;all;5;15; ;0.007874016;0;0.007575758;0.022900763;0.007042254;0.006622517;0;0;0;0;;;;
blocking probabilities per pair;1;all;13;12; ;0;0.007142857;0;0;0;0;0.007462687;0.00617284;0;0;;;;
blocking probabilities per pair;1;all;14;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;3;20; ;0;0;0;0.025210084;0.013986014;0;0;0.015748031;0;0;;;;
blocking probabilities per pair;1;all;3;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;3; ;0;0.006802721;0.007142857;0;0;0.006944444;0;0;0;0.007246377;;;;
blocking probabilities per pair;1;all;10;1; ;0.007042254;0.016666667;0.008130081;0.006849315;0.007042254;0.007751938;0.015625;0.014285714;0.007142857;0.020689655;;;;
blocking probabilities per pair;1;all;14;4; ;0.006369427;0;0.006896552;0;0.014388489;0.014492754;0.007142857;0.007092199;0;0;;;;
blocking probabilities per pair;1;all;4;25; ;0.014925373;0.007692308;0.021276596;0.011363636;0.012658228;0;0.006493506;0.015384615;0.014388489;0.014084507;;;;
blocking probabilities per pair;1;all;23;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;25;27; ;0.023255814;0;0;0.007518797;0.017241379;0;0.014705882;0;0.007246377;0;;;;
blocking probabilities per pair;1;all;21;4; ;0.023809524;0.013986014;0.013986014;0.007092199;0;0;0.007518797;0.028985507;0;0;;;;
blocking probabilities per pair;1;all;18;9; ;0;0.007352941;0;0.006944444;0;0;0;0.016260163;0;0.007462687;;;;
blocking probabilities per pair;1;all;2;15; ;0.006896552;0;0.009345794;0;0.015625;0.006944444;0.015625;0;0.007462687;0;;;;
blocking probabilities per pair;1;all;1;7; ;0.006993007;0.007633588;0;0;0;0;0;0.007246377;0;0;;;;
blocking probabilities per pair;1;all;2;23; ;0;0.020689655;0.008196721;0;0.006666667;0.013605442;0.025862069;0.011904762;0.006802721;0.030075188;;;;
blocking probabilities per pair;1;all;21;15; ;0.014084507;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;22;6; ;0;0;0;0;0.006369427;0.0078125;0;0;0;0.006410256;;;;
blocking probabilities per pair;1;all;25;2; ;0;0.013605442;0.013071895;0.038461538;0.006666667;0.006535948;0.006369427;0.045454545;0.008130081;0;;;;
blocking probabilities per pair;1;all;18;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;4;18; ;0;0;0.007352941;0;0.007194245;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;27;13; ;0.013793103;0;0;0;0;0;0.007692308;0;0.01459854;0.015625;;;;
blocking probabilities per pair;1;all;12;24; ;0;0;0;0;0;0.007462687;0;0.007462687;0;0;;;;
blocking probabilities per pair;1;all;28;17; ;0.042253521;0.054421769;0.02739726;0.02484472;0.068027211;0.070422535;0.064102564;0.020833333;0.008130081;0.022556391;;;;
blocking probabilities per pair;1;all;7;13; ;0;0;0;0.013157895;0.006756757;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;10; ;0.021428571;0.013245033;0.008547009;0.015503876;0;0.007633588;0;0.013071895;0.007194245;0.014388489;;;;
blocking probabilities per pair;1;all;20;12; ;0;0;0.008130081;0.018987342;0.006622517;0;0.006849315;0.007692308;0;0;;;;
blocking probabilities per pair;1;all;22;16; ;0.006666667;0;0;0;0;0;0;0.006944444;0;0.007692308;;;;
blocking probabilities per pair;1;all;23;17; ;0.016260163;0;0;0.007518797;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;23; ;0.007874016;0.024539877;0.020134228;0.046511628;0.053435115;0.014184397;0.026666667;0.046511628;0.026143791;0;;;;
blocking probabilities per pair;1;all;16;28; ;0.007092199;0;0;0;0;0;0;0;0.012578616;0.006993007;;;;
blocking probabilities per pair;1;all;20;18; ;0;0.007518797;0;0;0;0.008;0;0.007936508;0;0;;;;
blocking probabilities per pair;1;all;8;13; ;0;0;0;0;0;0;0;0;0;0.006134969;;;;
blocking probabilities per pair;1;all;17;10; ;0.026845638;0.016260163;0.006802721;0.023255814;0.028776978;0.02919708;0.006849315;0.014705882;0.023255814;0.02189781;;;;
blocking probabilities per pair;1;all;16;18; ;0.008;0;0.007142857;0;0.006369427;0;0;0;0;0.007092199;;;;
blocking probabilities per pair;1;all;19;4; ;0;0.007142857;0;0;0.015873016;0;0;0;0.006802721;0;;;;
blocking probabilities per pair;1;all;22;21; ;0;0;0;0;0.006711409;0;0;0;0;0.007518797;;;;
blocking probabilities per pair;1;all;1;18; ;0;0.00621118;0;0;0.01242236;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;16; ;0.022900763;0.013986014;0.007246377;0.02;0.015151515;0.013793103;0.007692308;0.02173913;0.021582734;0.033333333;;;;
blocking probabilities per pair;1;all;24;14; ;0.008695652;0;0;0;0;0;0;0.006756757;0.006756757;0;;;;
blocking probabilities per pair;1;all;11;28; ;0.023952096;0.007936508;0.020979021;0.044776119;0.045454545;0.006756757;0.019607843;0.023255814;0.016129032;0.007633588;;;;
blocking probabilities per pair;1;all;27;23; ;0;0.006369427;0;0.015267176;0.014285714;0;0.027210884;0.024;0.026143791;0.007692308;;;;
blocking probabilities per pair;1;all;22;17; ;0.02;0.027972028;0.052631579;0.023255814;0.036585366;0.014084507;0.020134228;0.036764706;0.027777778;0.021582734;;;;
blocking probabilities per pair;1;all;10;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;7; ;0.006410256;0;0.006329114;0.007407407;0;0;0.013793103;0;0;0;;;;
blocking probabilities per pair;1;all;24;27; ;0;0.007462687;0;0;0.01459854;0;0;0.007751938;0;0.007692308;;;;
blocking probabilities per pair;1;all;27;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;25;11; ;0;0.011494253;0.015151515;0.01744186;0.021582734;0.014705882;0.022727273;0.006756757;0;0.015267176;;;;
blocking probabilities per pair;1;all;7;18; ;0.006578947;0;0.007936508;0;0;0.008130081;0.007874016;0;0.007462687;0.015503876;;;;
blocking probabilities per pair;1;all;15;28; ;0;0;0.013888889;0.031746032;0.013245033;0.008130081;0.014492754;0.02;0.0078125;0.006896552;;;;
blocking probabilities per pair;1;all;5;24; ;0;0.007042254;0;0.022058824;0;0;0.006410256;0.007692308;0;0;;;;
blocking probabilities per pair;1;all;23;20; ;0.021126761;0;0.007352941;0;0.013605442;0;0.008;0.024;0;0.014285714;;;;
blocking probabilities per pair;1;all;2;3; ;0.016393443;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;25; ;0.025210084;0.006849315;0.007692308;0.016393443;0.008403361;0.006289308;0.008064516;0.020408163;0.015503876;0;;;;
blocking probabilities per pair;1;all;14;28; ;0.026143791;0.014814815;0.007407407;0.008403361;0.02962963;0;0.01875;0.019354839;0;0.012121212;;;;
