Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probabilities per pair;1;all;22;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;12; ;0;0;0;0;0;0.005714286;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;12; ;0;0;0;0;0;0;0.005681818;0;0;0;;;;
blocking probabilities per pair;1;all;24;11; ;0.00462963;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;10; ;0;0;0;0;0;0.005319149;0;0;0;0;;;;
blocking probabilities per pair;1;all;9;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;22;1; ;0.023255814;0.005617978;0.011428571;0;0.005649718;0;0;0.020618557;0.004608295;0.006060606;;;;
blocking probabilities per pair;1;all;22;12; ;0;0;0.004901961;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;13;2; ;0;0;0;0;0;0;0;0;0.005208333;0;;;;
blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;21;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;14; ;0;0.004975124;0;0.011235955;0;0.004878049;0.005882353;0;0.005747126;0;;;;
blocking probabilities per pair;1;all;20;5; ;0;0;0.005464481;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;9;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;21;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;17;9; ;0;0;0;0.004878049;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;11; ;0;0;0;0;0;0;0;0;0;0;;;;
