Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;media;desvio;confianca
External Fragmentation (Vertical);1;all; ;0,416408538;0,413931513;0,419404713;0,423570739;0,419296979;0,425315588;0,420031947;0,418013157;0,416471884;0,424891465;;0,419733652;0,003817978;0,002366364
External Fragmentation (Vertical);2;all; ;0,481371316;0,491775233;0,481113846;0,490634493;0,482449166;0,482604388;0,483700994;0,492198348;0,485087401;0,487634603;;0,485856979;0,0043624;0,002703794
External Fragmentation (Vertical);3;all; ;0,55483305;0,549150675;0,552943077;0,560779419;0,558715191;0,565415751;0,554482326;0,557145796;0,555020295;0,554929497;;0,556341508;0,004485123;0,002779857
External Fragmentation (Vertical);4;all; ;0,62694642;0,636805454;0,619203581;0,619104745;0,619947487;0,624254973;0,637134707;0,62657048;0,621706958;0,629362249;;0,626103705;0,00670822;0,004157721
External Fragmentation (Vertical);5;all; ;0,684953203;0,674882379;0,683321638;0,681492951;0,680002082;0,676706247;0,682299786;0,682065612;0,682070385;0,681216883;;0,680901117;0,003019165;0,001871263
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation (Horizontal);1;all; ;0.3363051777236285;0.3373375372302746;0.3430478056736402;0.3463961456016824;0.3434374130777817;0.34791124139409885;0.34052519550765276;0.33887728883346374;0.3375294001979009;0.34503619360424986;;;;
External Fragmentation (Horizontal);2;all; ;0.41046843885102513;0.4253071993791669;0.4093547853711724;0.42677588157586654;0.41496422046271;0.4128255833714999;0.4176724364236201;0.43089974344432974;0.4190603709525475;0.41931925285106475;;;;
External Fragmentation (Horizontal);3;all; ;0.5045642037790105;0.5004773239487159;0.504466430735171;0.5162083717459931;0.5130396630680507;0.5261737246607313;0.5087971700099656;0.5064140023259193;0.5147440063402967;0.5059482967012741;;;;
External Fragmentation (Horizontal);4;all; ;0.596426466019419;0.6093866915824914;0.5882931716027822;0.5938700518536367;0.5862900748263529;0.5931699661618139;0.6141562623741255;0.6022071804854283;0.5929320830008069;0.6014468802636642;;;;
External Fragmentation (Horizontal);5;all; ;0.6625277288709652;0.6547004715744795;0.657909190896366;0.6590266832235011;0.6568664729075822;0.6530802037135163;0.6586428863008074;0.6583955947719953;0.658058232056499;0.6561704609129719;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation Per Link;1;<17-23>; ;0.45411397246401375;0.46598943279367544;0.44746014556214164;0.4949190727059768;0.4690698794137641;0.437802684728402;0.4618534362200308;0.4437008410064481;0.45514292660425115;0.44068337253957246;;;;
External Fragmentation Per Link;1;<12-11>; ;0.4210877951700461;0.41908008515128503;0.43265979877756716;0.43410807938105506;0.4217445543839795;0.4192239150856904;0.41357250708512866;0.41927857573050903;0.41471511285598583;0.4234401131528322;;;;
External Fragmentation Per Link;1;<16-9>; ;0.4368762748425934;0.4338786404844225;0.42607213470651495;0.442161769835663;0.45302171572880334;0.43421893489451835;0.4260145230747172;0.42904147699567835;0.423828404513291;0.4233467515638177;;;;
External Fragmentation Per Link;1;<12-13>; ;0.4095218891034477;0.3889711625648355;0.4194602614234114;0.4158080996443225;0.41293235356193425;0.42062837149463844;0.40788110966627755;0.41502144080248154;0.41490120177183587;0.41582392775822963;;;;
External Fragmentation Per Link;1;<22-16>; ;0.47470217960538263;0.4611630288038492;0.4572453544002836;0.4674340519815002;0.4561762380801889;0.45626463750380264;0.44843128061668786;0.4647226816596603;0.44979740049953604;0.4615169812890183;;;;
External Fragmentation Per Link;1;<6-10>; ;0.3629034729970027;0.34481390432498593;0.36013642079415903;0.34904210770419136;0.35417959882755545;0.346008540391241;0.34995254839880086;0.3318488397119667;0.35735024790852804;0.3584554930576835;;;;
External Fragmentation Per Link;1;<12-3>; ;0.45094744873406795;0.4458330277089207;0.4533469247547425;0.43789632991603383;0.44190581843772614;0.4528829788932724;0.4501083155391354;0.46195005264299055;0.4381341851048514;0.4451514894711857;;;;
External Fragmentation Per Link;1;<27-22>; ;0.37507602253673245;0.34995765608235757;0.3735071728344856;0.37967641816202563;0.3815761062994289;0.37330955012252937;0.3580633706839503;0.37107192223863056;0.35282689497832026;0.3739676473669026;;;;
External Fragmentation Per Link;1;<22-10>; ;0.2447520917511043;0.23377617674133905;0.22232103322567426;0.22265498454579322;0.21799920931119185;0.22822275219947882;0.22794927797299688;0.22815176114013958;0.23767577868475098;0.2405986136481346;;;;
External Fragmentation Per Link;1;<27-28>; ;0.2971264551663292;0.2769813224939555;0.2791216206217614;0.28866662819261135;0.27352777069506823;0.28548550414677437;0.27697262531507794;0.27505185665730403;0.28771798294163825;0.30084646222956274;;;;
External Fragmentation Per Link;1;<23-24>; ;0.43113388894953425;0.4470423208109703;0.4135331093190224;0.4452260068372743;0.41718018861064343;0.439457356992629;0.4201734076162605;0.42635522368842366;0.39429383050848915;0.4318309318480224;;;;
External Fragmentation Per Link;1;<27-26>; ;0.4024139949921377;0.37788377080800967;0.38600495903349286;0.39443212522744675;0.38391552521838485;0.3931011327112968;0.4007299620194005;0.38379910422109487;0.40075982325021997;0.4109449743962758;;;;
