Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probabilities per pair;1;all;1;19; ;0.040201005;0.027322404;0.056603774;0.073298429;0.035175879;0.058479532;0.047619048;0.045454545;0.048543689;0.048076923;;;;
blocking probabilities per pair;1;all;1;6; ;0.032786885;0.010526316;0.02617801;0.010582011;0.004784689;0.011173184;0.011627907;0.004926108;0.010050251;0.011904762;;;;
blocking probabilities per pair;1;all;24;4; ;0.016759777;0.038043478;0.038251366;0.009950249;0.005181347;0.018404908;0.014354067;0.010526316;0.005154639;0.015789474;;;;
blocking probabilities per pair;1;all;11;18; ;0.011235955;0.004672897;0.059782609;0.015625;0.005291005;0.019230769;0.016574586;0.014492754;0.017751479;0.026595745;;;;
blocking probabilities per pair;1;all;5;10; ;0.011695906;0.011173184;0.005181347;0.010204082;0.010582011;0;0.025252525;0.011627907;0;0;;;;
blocking probabilities per pair;1;all;11;10; ;0.017142857;0;0.016666667;0.005813953;0;0.010526316;0.010810811;0.016574586;0.014778325;0.01010101;;;;
blocking probabilities per pair;1;all;13;17; ;0;0;0;0.011173184;0.005617978;0.005181347;0.014423077;0;0.027777778;0;;;;
blocking probabilities per pair;1;all;16;8; ;0.00990099;0;0.012987013;0.013824885;0.026595745;0.024509804;0.010362694;0.016483516;0.025641026;0.028089888;;;;
blocking probabilities per pair;1;all;22;21; ;0.005181347;0;0.013953488;0;0;0;0.005405405;0;0.023584906;0;;;;
blocking probabilities per pair;1;all;22;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;12; ;0.034146341;0.021164021;0.022099448;0.005714286;0.030456853;0.005494505;0.044444444;0.041176471;0.033492823;0.016304348;;;;
blocking probabilities per pair;1;all;16;12; ;0.010362694;0.004901961;0.009090909;0;0.010204082;0.005291005;0.015706806;0.015463918;0.00617284;0.005208333;;;;
blocking probabilities per pair;1;all;24;11; ;0.030612245;0.020942408;0.023696682;0.01183432;0.015957447;0.023121387;0.005208333;0;0.037234043;0.018292683;;;;
blocking probabilities per pair;1;all;12;10; ;0.005347594;0;0.015384615;0.01025641;0.00990099;0.005050505;0.010416667;0.010928962;0.019704433;0.010362694;;;;
blocking probabilities per pair;1;all;9;8; ;0.018072289;0;0.011627907;0.009569378;0.010869565;0.020942408;0;0;0.004975124;0;;;;
blocking probabilities per pair;1;all;22;1; ;0.062857143;0.076502732;0.095238095;0.049180328;0.074074074;0.054054054;0.060913706;0.040816327;0.086294416;0.020408163;;;;
blocking probabilities per pair;1;all;22;12; ;0.017142857;0.010582011;0.010810811;0;0.011428571;0.011627907;0.005494505;0.005376344;0.01986755;0.004424779;;;;
blocking probabilities per pair;1;all;13;2; ;0.031746032;0.035294118;0.019138756;0.027906977;0.048543689;0.038674033;0.03626943;0.028571429;0.034090909;0.051546392;;;;
blocking probabilities per pair;1;all;18;15; ;0.023391813;0.021052632;0.020408163;0.005;0.027173913;0.012578616;0.010416667;0.00591716;0.005208333;0.019047619;;;;
blocking probabilities per pair;1;all;21;17; ;0.016759777;0.010928962;0.004975124;0;0.005780347;0.009389671;0.02247191;0;0.016304348;0.015463918;;;;
blocking probabilities per pair;1;all;1;14; ;0.063218391;0.016042781;0.043715847;0.005376344;0.005524862;0.015384615;0.019323671;0.016393443;0.021621622;0.043715847;;;;
blocking probabilities per pair;1;all;20;5; ;0.011235955;0.023696682;0.025906736;0.018099548;0.020725389;0.02247191;0.03;0.018957346;0.037037037;0.028735632;;;;
blocking probabilities per pair;1;all;11;13; ;0;0;0;0.017647059;0;0.015463918;0.005102041;0.010416667;0;0.016574586;;;;
blocking probabilities per pair;1;all;9;10; ;0.005263158;0.016216216;0.021164021;0.005235602;0.011111111;0.006134969;0.010050251;0.010309278;0;0;;;;
blocking probabilities per pair;1;all;14;24; ;0;0.015544041;0.005235602;0.005988024;0.015306122;0.019607843;0.005649718;0.01;0.005524862;0.021621622;;;;
blocking probabilities per pair;1;all;5;24; ;0.020942408;0;0.010582011;0.005780347;0.024038462;0.016042781;0.005347594;0;0.00456621;0;;;;
blocking probabilities per pair;1;all;24;15; ;0.016853933;0.010869565;0;0.010989011;0.013574661;0.005714286;0.057692308;0.005405405;0.016483516;0.02259887;;;;
blocking probabilities per pair;1;all;21;22; ;0;0.010695187;0.006097561;0;0.014563107;0.011299435;0;0.009756098;0;0.015306122;;;;
blocking probabilities per pair;1;all;17;9; ;0.01863354;0.020833333;0.033653846;0.015789474;0.014018692;0.046875;0.015625;0.021621622;0.032608696;0.021164021;;;;
blocking probabilities per pair;1;all;14;13; ;0.011627907;0.009478673;0.004784689;0;0;0.010638298;0.015306122;0;0;0.006493506;;;;
blocking probabilities per pair;1;all;19;10; ;0.005617978;0;0.0125;0.005524862;0.010989011;0.042105263;0.010526316;0.006535948;0.011299435;0.02259887;;;;
blocking probabilities per pair;1;all;10;11; ;0.011494253;0.015228426;0.005235602;0.023529412;0.014778325;0.005;0.01754386;0.017751479;0.013392857;0.015384615;;;;
blocking probabilities per pair;1;all;13;1; ;0.029850746;0.020833333;0.062857143;0.058201058;0.016216216;0.053475936;0.040609137;0.037433155;0.030674847;0.016666667;;;;
blocking probabilities per pair;1;all;3;18; ;0.025125628;0.019607843;0.017964072;0;0.006024096;0.009569378;0.015957447;0.005617978;0.010416667;0.015625;;;;
blocking probabilities per pair;1;all;8;5; ;0.005347594;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;4; ;0.025316456;0.018072289;0.023584906;0.016853933;0.029585799;0.019138756;0.023923445;0.014084507;0.015151515;0.004587156;;;;
blocking probabilities per pair;1;all;8;24; ;0;0.01754386;0.017142857;0.005405405;0.020408163;0.020100503;0.011695906;0.019900498;0.009569378;0.014218009;;;;
blocking probabilities per pair;1;all;15;20; ;0;0.005347594;0;0;0;0.005235602;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;6; ;0.035;0.059139785;0.042780749;0.039215686;0.034482759;0.025125628;0.064356436;0.035897436;0.043243243;0.027322404;;;;
blocking probabilities per pair;1;all;16;11; ;0.033149171;0.04494382;0.028169014;0.029850746;0.0591133;0.038043478;0.020100503;0.02259887;0.017751479;0.037433155;;;;
blocking probabilities per pair;1;all;16;5; ;0.010582011;0.015306122;0.027624309;0.004975124;0.014354067;0.030456853;0.009852217;0.023121387;0.015873016;0.016304348;;;;
blocking probabilities per pair;1;all;8;22; ;0.020408163;0.023391813;0.005586592;0.009950249;0.005347594;0.020512821;0.006024096;0.014285714;0.027322404;0.004950495;;;;
blocking probabilities per pair;1;all;24;8; ;0.010050251;0.009661836;0.016949153;0.005747126;0.005102041;0.005434783;0.010050251;0.010928962;0.014705882;0.01980198;;;;
blocking probabilities per pair;1;all;19;23; ;0.032085561;0.005;0.048648649;0.023121387;0.005747126;0.005847953;0.016853933;0.042553191;0.00625;0.027027027;;;;
blocking probabilities per pair;1;all;5;9; ;0.015075377;0.005882353;0;0.025125628;0.005128205;0;0.006024096;0.010362694;0.004716981;0.005263158;;;;
blocking probabilities per pair;1;all;4;5; ;0;0;0;0;0;0;0.015957447;0.005586592;0;0;;;;
blocking probabilities per pair;1;all;23;21; ;0;0.016666667;0.005;0;0.01025641;0.010869565;0.005376344;0;0.011235955;0.004878049;;;;
blocking probabilities per pair;1;all;11;12; ;0.015384615;0;0;0.005291005;0;0;0;0;0.005128205;0;;;;
blocking probabilities per pair;1;all;1;23; ;0.027522936;0.011976048;0.045;0.018018018;0.028846154;0.032432432;0.051724138;0.067357513;0.033149171;0.043269231;;;;
blocking probabilities per pair;1;all;18;9; ;0.020942408;0.006060606;0.005405405;0.005181347;0.016216216;0.015075377;0.016574586;0.015957447;0.011173184;0.021390374;;;;
blocking probabilities per pair;1;all;24;17; ;0.005376344;0.01;0.005181347;0.010471204;0.005813953;0;0.010471204;0.005263158;0;0;;;;
blocking probabilities per pair;1;all;10;2; ;0.04587156;0.010638298;0.014705882;0.026455026;0.04519774;0.018518519;0.020512821;0.033519553;0.040462428;0.015384615;;;;
blocking probabilities per pair;1;all;16;6; ;0.042553191;0.075;0.061111111;0.029239766;0.041884817;0.034482759;0.059701493;0.022346369;0.025906736;0.034653465;;;;
blocking probabilities per pair;1;all;14;12; ;0.005319149;0;0;0.005617978;0;0.005263158;0;0.010989011;0.010152284;0.009345794;;;;
blocking probabilities per pair;1;all;8;23; ;0.005;0.010989011;0;0.010204082;0.01;0;0.005319149;0.017241379;0.028571429;0.010638298;;;;
blocking probabilities per pair;1;all;16;14; ;0.014851485;0;0.00896861;0;0;0.005494505;0.026041667;0.005494505;0.005050505;0;;;;
blocking probabilities per pair;1;all;14;9; ;0.014423077;0.025906736;0.028901734;0.019900498;0;0.020942408;0.023255814;0.005714286;0.027624309;0.010152284;;;;
blocking probabilities per pair;1;all;4;23; ;0.049450549;0.028985507;0.054347826;0.016483516;0.011764706;0;0.028089888;0.047904192;0.059139785;0.005181347;;;;
blocking probabilities per pair;1;all;7;20; ;0.048648649;0.010928962;0.078212291;0.046242775;0.022727273;0.016759777;0.02259887;0.04787234;0.046153846;0.027027027;;;;
blocking probabilities per pair;1;all;11;9; ;0.005405405;0.014851485;0;0;0;0.005649718;0;0.005347594;0.005555556;0.005434783;;;;
blocking probabilities per pair;1;all;12;17; ;0.011494253;0;0.010416667;0;0;0.008658009;0.015544041;0;0.010695187;0.009478673;;;;
blocking probabilities per pair;1;all;7;1; ;0.005050505;0.011299435;0.027322404;0.005263158;0.005319149;0.005376344;0.005;0.016393443;0.004878049;0.016129032;;;;
blocking probabilities per pair;1;all;21;24; ;0;0.010416667;0.005524862;0.005;0.027027027;0.004854369;0.010869565;0.011173184;0;0.031578947;;;;
blocking probabilities per pair;1;all;3;11; ;0.016483516;0.011363636;0.011049724;0.011494253;0.03125;0.027932961;0.03030303;0.037234043;0.025380711;0.038043478;;;;
blocking probabilities per pair;1;all;11;14; ;0.011235955;0.005847953;0.025773196;0;0;0.011049724;0.005235602;0.010810811;0.013157895;0;;;;
blocking probabilities per pair;1;all;5;19; ;0.040229885;0.009049774;0.005319149;0;0.015384615;0;0.011363636;0.009478673;0.017751479;0;;;;
blocking probabilities per pair;1;all;8;9; ;0.010526316;0.005347594;0.010362694;0;0.010050251;0.005524862;0.008849558;0.019138756;0.010810811;0.010869565;;;;
blocking probabilities per pair;1;all;18;17; ;0;0.005181347;0.005154639;0.004608295;0;0;0.005555556;0.005376344;0.005882353;0;;;;
blocking probabilities per pair;1;all;5;23; ;0.005714286;0.005434783;0.030612245;0.008928571;0.011627907;0.014563107;0.016393443;0.013333333;0.018867925;0.025;;;;
blocking probabilities per pair;1;all;16;23; ;0.010638298;0;0;0;0.014354067;0;0.005586592;0;0.010695187;0;;;;
blocking probabilities per pair;1;all;13;19; ;0.011363636;0.016304348;0.030120482;0.011299435;0.005847953;0.010810811;0.005235602;0.005235602;0.0375;0;;;;
blocking probabilities per pair;1;all;3;16; ;0.016129032;0.015075377;0.030150754;0.005494505;0.05;0.02020202;0.031413613;0.046242775;0.022346369;0.005181347;;;;
blocking probabilities per pair;1;all;23;17; ;0;0;0;0;0;0;0.005235602;0;0;0.005263158;;;;
blocking probabilities per pair;1;all;5;16; ;0.03030303;0.015384615;0.023696682;0.020408163;0.01754386;0.005494505;0.018292683;0.051612903;0.011299435;0.005464481;;;;
blocking probabilities per pair;1;all;6;17; ;0.020833333;0.027777778;0.005847953;0.010989011;0.015306122;0.021276596;0.023809524;0.030456853;0.053475936;0.035897436;;;;
blocking probabilities per pair;1;all;6;23; ;0.040935673;0.029069767;0.024630542;0;0.022099448;0.02173913;0.023391813;0.041860465;0.02;0.033149171;;;;
blocking probabilities per pair;1;all;10;18; ;0.010416667;0;0.004739336;0.005291005;0.025510204;0;0.004854369;0.005128205;0.005319149;0.004926108;;;;
blocking probabilities per pair;1;all;11;16; ;0.027322404;0;0.02955665;0.021390374;0.053140097;0.052910053;0.009950249;0.027322404;0.014851485;0.036842105;;;;
blocking probabilities per pair;1;all;7;15; ;0.047169811;0.015957447;0.094117647;0.034482759;0.06043956;0.014423077;0.025641026;0.054726368;0.049261084;0.047169811;;;;
blocking probabilities per pair;1;all;16;20; ;0.005714286;0.005988024;0;0.010752688;0.030927835;0.011428571;0.005128205;0.005780347;0.014925373;0.005025126;;;;
blocking probabilities per pair;1;all;2;20; ;0.090452261;0.028571429;0.101449275;0.061904762;0.040229885;0.069767442;0.066666667;0.091397849;0.051282051;0.043715847;;;;
blocking probabilities per pair;1;all;4;10; ;0.011235955;0.005347594;0.015075377;0.005050505;0.005235602;0;0.012195122;0.005347594;0;0.01183432;;;;
blocking probabilities per pair;1;all;6;14; ;0.025;0.037234043;0.059459459;0.015151515;0.02955665;0.044692737;0.02247191;0.005181347;0.031914894;0.037914692;;;;
blocking probabilities per pair;1;all;14;17; ;0;0.005347594;0.005263158;0.004761905;0.004830918;0;0;0.004950495;0.015625;0;;;;
blocking probabilities per pair;1;all;3;19; ;0.046632124;0.010050251;0.039325843;0.045685279;0.017751479;0.042654028;0.049723757;0.034653465;0.054644809;0.068181818;;;;
blocking probabilities per pair;1;all;13;22; ;0.010471204;0.010152284;0.009950249;0.005263158;0;0.010869565;0.010752688;0.00591716;0.033519553;0.021052632;;;;
blocking probabilities per pair;1;all;19;21; ;0.005208333;0.010471204;0.015228426;0.014354067;0.020408163;0.010638298;0.010638298;0.043243243;0.01744186;0.029069767;;;;
blocking probabilities per pair;1;all;22;3; ;0.016483516;0.005847953;0.016304348;0.021164021;0.025380711;0.043478261;0.004608295;0.022222222;0.015463918;0.01242236;;;;
blocking probabilities per pair;1;all;16;2; ;0.039215686;0.049180328;0.057803468;0.06557377;0.078651685;0.041420118;0.069124424;0.05;0.07027027;0.049019608;;;;
blocking probabilities per pair;1;all;8;7; ;0;0;0;0;0;0;0;0;0.004854369;0;;;;
blocking probabilities per pair;1;all;9;6; ;0.015151515;0.036458333;0.004608295;0.017045455;0.015228426;0.021276596;0.019900498;0.022222222;0.012820513;0;;;;
blocking probabilities per pair;1;all;9;11; ;0;0.026737968;0.005586592;0;0.009950249;0.018691589;0;0.014018692;0.011363636;0.005617978;;;;
blocking probabilities per pair;1;all;13;7; ;0;0.014492754;0.020408163;0.016304348;0.005076142;0.004950495;0.022099448;0.017045455;0.021621622;0.018072289;;;;
blocking probabilities per pair;1;all;11;19; ;0.005102041;0.005376344;0;0;0.010152284;0.005464481;0.005025126;0.005076142;0;0.005681818;;;;
blocking probabilities per pair;1;all;1;2; ;0;0;0.010204082;0.010471204;0;0.004830918;0;0.01754386;0.005434783;0.010928962;;;;
blocking probabilities per pair;1;all;13;16; ;0.005181347;0.004784689;0;0;0.004651163;0.005208333;0.005813953;0.010582011;0.01242236;0.005524862;;;;
blocking probabilities per pair;1;all;9;17; ;0.004830918;0.01734104;0.028409091;0.017045455;0.023255814;0.005076142;0.025773196;0.018691589;0.041025641;0.012269939;;;;
blocking probabilities per pair;1;all;10;12; ;0.004784689;0.005319149;0.016393443;0.005747126;0.011299435;0.016304348;0.005076142;0.005714286;0;0.010989011;;;;
blocking probabilities per pair;1;all;5;11; ;0.021390374;0.015228426;0.025125628;0;0.012578616;0;0;0.005347594;0.018099548;0.005025126;;;;
blocking probabilities per pair;1;all;6;18; ;0.010928962;0.027322404;0.023809524;0.041884817;0.015706806;0.015544041;0.026595745;0.010810811;0.016483516;0.016042781;;;;
blocking probabilities per pair;1;all;15;19; ;0.010928962;0;0.02020202;0.010050251;0.005524862;0.016574586;0.016216216;0.018292683;0.01010101;0.005025126;;;;
blocking probabilities per pair;1;all;19;2; ;0.041025641;0.059139785;0.044585987;0.057894737;0.032786885;0.056818182;0.066666667;0.015625;0.042654028;0.021276596;;;;
