Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
External Fragmentation (Vertical);1;all; ;0,419357826;0,414654849;0,413767078;0,419719374;0,422773025;0,410922504;0,423783359;0,418122443;0,420457343;0,41760829;;0,418116609;0,004031798;0,002498888
External Fragmentation (Vertical);2;all; ;0,485752215;0,481172998;0,483908503;0,475918675;0,484050781;0,484392061;0,489632005;0,48504829;0,480252639;0,491033227;;0,48411614;0,004380857;0,002715234
External Fragmentation (Vertical);3;all; ;0,554740102;0,545841954;0,553979021;0,55082122;0,554782246;0,551894337;0,556957995;0,551566416;0,552275114;0,545833414;;0,551869182;0,003669527;0,002274354
External Fragmentation (Vertical);4;all; ;0,617423709;0,625009654;0,619438427;0,616054843;0,611140814;0,61532751;0,612637535;0,61339612;0,619091139;0,623587099;;0,617310685;0,004559693;0,002826075
External Fragmentation (Vertical);5;all; ;0,67087392;0,676660964;0,67829505;0,678427002;0,67670856;0,673357013;0,677646195;0,668536692;0,679853597;0,678592861;;0,675895185;0,003730249;0,00231199
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation (Horizontal);1;all; ;0.34261234387775824;0.3334602231630593;0.33432304582783645;0.3409271416223636;0.34623243999001446;0.3387616696888118;0.3492280803639483;0.3383663416192671;0.3423812715958327;0.33850985321550303;;;;
External Fragmentation (Horizontal);2;all; ;0.4237757195411514;0.4182123784130387;0.42033621678357125;0.40947272657285394;0.42619513683814125;0.4209381500873282;0.4319906092796995;0.424247922687291;0.4166146194925529;0.4338089615405454;;;;
External Fragmentation (Horizontal);3;all; ;0.5084707322936525;0.5025201704808652;0.5114800575756909;0.5101024417361111;0.507284415269575;0.5074576208017497;0.5148672651640132;0.5094903726393581;0.5093767463067359;0.49998873834075647;;;;
External Fragmentation (Horizontal);4;all; ;0.5931418829268603;0.5984040941089805;0.5982400261996429;0.5911395524889239;0.5868743390240674;0.5866887829519087;0.5835774363308756;0.5899134938140903;0.5933954153834761;0.6007256125670567;;;;
External Fragmentation (Horizontal);5;all; ;0.6483275690563394;0.6530776650177249;0.657128054228899;0.658363662368983;0.6517062901339954;0.6499835948552948;0.6555282972285835;0.6445243474290396;0.6568572229680438;0.6526552349698852;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation Per Link;1;<17-23>; ;0.4367203653336905;0.44481174462539314;0.45149354730951846;0.4641026809924975;0.4611254620182205;0.4709498912821447;0.4567150055289393;0.44733100920860863;0.4614503582745407;0.43184566792957574;;;;
