Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;
blocking probabilities per pair;1;all;6;7; ;0.001788909;0.001805054;0;0.001763668;0.001811594;0;0;0.001879699;0.001879699;0.001779359;;
blocking probabilities per pair;1;all;11;7; ;0.001658375;0.003448276;0.005328597;0.003424658;0.001633987;0.00177305;0.003683241;0.001865672;0.005235602;0.005190311;;
blocking probabilities per pair;1;all;6;14; ;0;0;0;0;0.001805054;0;0;0;0;0;;
blocking probabilities per pair;1;all;8;1; ;0.009363296;0.001824818;0.015789474;0.007259528;0.001901141;0.011049724;0.014388489;0.00525394;0.012259194;0.008130081;;
blocking probabilities per pair;1;all;11;2; ;0;0;0;0;0.001869159;0;0.001890359;0;0.001869159;0;;
blocking probabilities per pair;1;all;10;14; ;0;0;0;0.001869159;0.003683241;0;0.003571429;0;0.003731343;0.005714286;;
blocking probabilities per pair;1;all;7;9; ;0.001692047;0;0;0;0.005076142;0;0.001818182;0.00177305;0.001890359;0.003571429;;
blocking probabilities per pair;1;all;4;7; ;0.003484321;0;0.007366483;0.007434944;0.001779359;0.001845018;0.003333333;0;0.001886792;0.005235602;;
blocking probabilities per pair;1;all;8;11; ;0.001893939;0.001745201;0;0.001792115;0.003590664;0.003656307;0.003703704;0.003472222;0.003642987;0.002024291;;
blocking probabilities per pair;1;all;12;9; ;0.001845018;0;0.001748252;0.001757469;0;0;0.001848429;0;0;0;;
blocking probabilities per pair;1;all;12;5; ;0.001715266;0;0.005514706;0.005524862;0.001727116;0.0056926;0.003571429;0.001858736;0.001841621;0;;
blocking probabilities per pair;1;all;5;9; ;0;0;0;0;0.001901141;0.001818182;0;0.001855288;0.001834862;0.001923077;;
blocking probabilities per pair;1;all;13;9; ;0;0;0;0;0.001821494;0;0;0.001879699;0.005172414;0;;
blocking probabilities per pair;1;all;9;5; ;0.003384095;0;0;0.005565863;0.001751313;0.001766784;0.003571429;0.003558719;0.003690037;0.005338078;;
blocking probabilities per pair;1;all;8;3; ;0.005395683;0;0.006896552;0.001730104;0;0.001811594;0.003577818;0.005376344;0.010582011;0.005545287;;
blocking probabilities per pair;1;all;9;2; ;0.001733102;0;0;0.003861004;0.005504587;0.001834862;0.001814882;0;0.003787879;0.001677852;;
blocking probabilities per pair;1;all;4;3; ;0.006700168;0.011844332;0.018726592;0.016791045;0.006993007;0.011131725;0.008992806;0.018552876;0.015238095;0.021857923;;
blocking probabilities per pair;1;all;11;13; ;0;0;0;0.001848429;0;0;0;0.001718213;0;0.001845018;;
blocking probabilities per pair;1;all;5;7; ;0.001923077;0.003802281;0;0.005454545;0.001851852;0.003795066;0.001801802;0.001760563;0.010638298;0.003616637;;
blocking probabilities per pair;1;all;5;11; ;0.001890359;0;0;0.003355705;0.001703578;0.003252033;0;0;0.005405405;0.001795332;;
blocking probabilities per pair;1;all;13;7; ;0.001703578;0.003795066;0.003773585;0.005474453;0.003502627;0.003913894;0.003597122;0.005059022;0;0.003603604;;
blocking probabilities per pair;1;all;11;4; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair;1;all;12;7; ;0.005272408;0.005524862;0.005415162;0.003590664;0;0.005597015;0.003773585;0.001926782;0.003430532;0.001776199;;
blocking probabilities per pair;1;all;3;13; ;0.001876173;0;0.001801802;0;0;0.005217391;0.001824818;0;0;0;;
blocking probabilities per pair;1;all;14;11; ;0;0;0.001890359;0;0;0;0.001706485;0;0.001795332;0;;
blocking probabilities per pair;1;all;7;5; ;0.003384095;0;0.004950495;0.005084746;0.003861004;0.001680672;0.001766784;0.003508772;0.005309735;0;;
blocking probabilities per pair;1;all;14;6; ;0;0;0;0.001838235;0.001795332;0;0;0;0;0;;
blocking probabilities per pair;1;all;12;4; ;0;0;0;0;0.001736111;0;0.003913894;0;0;0.005235602;;
blocking probabilities per pair;1;all;13;14; ;0;0;0;0;0;0;0;0.001620746;0;0.003496503;;
blocking probabilities per pair;1;all;9;4; ;0.003514938;0;0.001782531;0.003496503;0.003448276;0.001795332;0.001792115;0.001908397;0;0.005033557;;
blocking probabilities per pair;1;all;13;1; ;0.001953125;0.003780718;0.003496503;0.001831502;0.003344482;0;0.009345794;0.003294893;0;0.00174216;;
blocking probabilities per pair;1;all;2;1; ;0.001838235;0.001886792;0.008710801;0.013409962;0.006920415;0.005714286;0.003802281;0.005847953;0.005474453;0.008431703;;
blocking probabilities per pair;1;all;10;9; ;0;0;0.001845018;0.001862197;0.003378378;0.001851852;0;0;0.001769912;0;;
blocking probabilities per pair;1;all;7;10; ;0;0.003584229;0.005319149;0;0;0.001733102;0.008361204;0.001862197;0.003418803;0.001883239;;
blocking probabilities per pair;1;all;9;3; ;0.003552398;0.003558719;0;0.007042254;0.005415162;0.005300353;0.005226481;0.001694915;0.003787879;0.001754386;;
blocking probabilities per pair;1;all;8;2; ;0.005272408;0.005300353;0.013307985;0;0.012455516;0.001862197;0.007259528;0.003690037;0.010638298;0.001745201;;
blocking probabilities per pair;1;all;2;8; ;0.005309735;0.006568144;0.003616637;0.001814882;0.008431703;0.005628518;0.003577818;0.003565062;0.001937984;0.010889292;;
blocking probabilities per pair;1;all;2;6; ;0;0.001642036;0.005347594;0.001897533;0.005607477;0.001805054;0.001838235;0.005136986;0.001655629;0.009259259;;
blocking probabilities per pair;1;all;4;10; ;0.005208333;0.003703704;0;0.00744879;0.005366726;0.001814882;0;0;0;0.001845018;;
blocking probabilities per pair;1;all;8;7; ;0.003584229;0;0.001779359;0;0;0;0;0;0.001776199;0.001834862;;
blocking probabilities per pair;1;all;3;12; ;0.001748252;0.001876173;0.004950495;0;0.001845018;0.001776199;0;0.001788909;0.001788909;0;;
blocking probabilities per pair;1;all;1;14; ;0.003584229;0.003603604;0;0.005565863;0.003508772;0.003649635;0.003521127;0.004893964;0;0.003610108;;
blocking probabilities per pair;1;all;8;4; ;0.007130125;0;0.00528169;0.003333333;0.001766784;0.003527337;0.001776199;0.003703704;0.003395586;0;;
blocking probabilities per pair;1;all;9;6; ;0;0;0;0;0.001996008;0.001824818;0;0.003484321;0;0.003752345;;
blocking probabilities per pair;1;all;6;1; ;0.001808318;0.001760563;0.001730104;0.00177305;0;0.005736138;0.001828154;0.001821494;0.003442341;0.003590664;;
blocking probabilities per pair;1;all;2;10; ;0.003623188;0.003683241;0;0.005291005;0.001788909;0.005535055;0.003448276;0.001754386;0;0;;
blocking probabilities per pair;1;all;5;10; ;0;0;0;0;0.001926782;0.003846154;0.005565863;0.001926782;0;0.001727116;;
blocking probabilities per pair;1;all;12;13; ;0;0;0;0.001785714;0.001724138;0;0;0.001848429;0.001751313;0;;
blocking probabilities per pair;1;all;12;3; ;0.001855288;0.003816794;0.003533569;0.001960784;0.005102041;0.001709402;0.003861004;0.003322259;0.001712329;0.003642987;;
blocking probabilities per pair;1;all;8;5; ;0;0.003384095;0.003636364;0;0;0.005545287;0.003642987;0;0.005494505;0.007633588;;
blocking probabilities per pair;1;all;11;14; ;0;0.001831502;0;0;0;0;0.001686341;0;0.001694915;0.001798561;;
blocking probabilities per pair;1;all;1;9; ;0.007220217;0.005882353;0.003868472;0.003577818;0.008944544;0.001715266;0.003412969;0.003284072;0;0.003508772;;
blocking probabilities per pair;1;all;6;12; ;0;0;0.001865672;0;0;0;0;0.003527337;0.001821494;0;;
blocking probabilities per pair;1;all;3;9; ;0.003327787;0;0.001715266;0;0.003361345;0;0;0.003378378;0.001848429;0.001814882;;
blocking probabilities per pair;1;all;11;6; ;0;0;0;0;0;0.001838235;0;0.003690037;0.001782531;0;;
blocking probabilities per pair;1;all;10;7; ;0;0;0.001766784;0;0.003663004;0;0.001805054;0.003597122;0.001706485;0;;
blocking probabilities per pair;1;all;9;1; ;0.003710575;0.003460208;0.001788909;0.001792115;0.003690037;0.006884682;0.003616637;0.003514938;0.008665511;0;;
blocking probabilities per pair;1;all;12;2; ;0;0;0.001782531;0;0.001865672;0;0;0;0;0.001805054;;
blocking probabilities per pair;1;all;2;12; ;0;0;0.001883239;0.001788909;0;0;0;0.001715266;0;0;;
blocking probabilities per pair;1;all;1;5; ;0.005347594;0.003656307;0.003766478;0;0.005415162;0;0.003717472;0;0.005319149;0.007380074;;
blocking probabilities per pair;1;all;3;4; ;0.017064846;0.013133208;0.016605166;0.007462687;0.015384615;0.011744966;0.016483516;0.01426025;0.019503546;0.023679417;;
blocking probabilities per pair;1;all;9;11; ;0.001754386;0;0;0.003610108;0;0.001834862;0.003514938;0;0;0;;
blocking probabilities per pair;1;all;10;12; ;0;0;0.003395586;0;0.001811594;0.005514706;0;0.001869159;0.003780718;0;;
blocking probabilities per pair;1;all;3;11; ;0;0;0;0;0;0;0;0.001766784;0.001821494;0;;
blocking probabilities per pair;1;all;4;6; ;0.003472222;0.003361345;0.003496503;0;0.001754386;0;0.003610108;0;0.005671078;0.003795066;;
blocking probabilities per pair;1;all;5;13; ;0.005660377;0;0;0;0.003539823;0;0;0;0.001876173;0.001798561;;
blocking probabilities per pair;1;all;14;1; ;0.003669725;0.001851852;0.007633588;0.006482982;0.001818182;0;0.00174216;0.001751313;0.007462687;0.009398496;;
blocking probabilities per pair;1;all;14;7; ;0.001769912;0.003669725;0;0.005545287;0.005524862;0;0.003759398;0.003508772;0.001779359;0.001675042;;
